Unnamed: 0,radio,MCC,MNC,TAC,CID,unit,LON,LAT,RANGE,SAM,changeable,created,updated,averageSignal,Country,Network,Continent
12848234,GSM,602,3,22031,51162,0,31.001358032227,27.278366088867,1000,1,1,1353876027,1353876027,0,Egypt,Etisalat,Africa
12848235,UMTS,602,3,32042,13423346,0,31.076442,27.224815,8549,6,1,1353876291,1353876291,0,Egypt,Etisalat,Africa
12848236,UMTS,602,3,32042,13423387,0,31.155772,27.199663,14048,16,1,1353876406,1353876406,0,Egypt,Etisalat,Africa
12848237,UMTS,602,3,32042,13423345,0,31.150017,27.188759,1000,4,1,1353876294,1353876294,0,Egypt,Etisalat,Africa
12848238,UMTS,602,3,32042,13423385,0,31.175613,27.193985,1000,9,1,1353876496,1353876496,0,Egypt,Etisalat,Africa
12848239,UMTS,602,3,32042,13426105,0,31.178925,27.188828,1000,10,1,1353876549,1353876549,0,Egypt,Etisalat,Africa
12848240,UMTS,602,3,32042,13426106,0,31.182757,27.185357,1000,11,1,1353876608,1353876608,0,Egypt,Etisalat,Africa
12848241,UMTS,602,3,32042,13420457,0,31.186638,27.182121,1000,12,1,1353876678,1353876678,0,Egypt,Etisalat,Africa
12848242,UMTS,602,3,32042,13421017,0,31.186484,27.178211,1000,87,1,1353877548,1353877548,0,Egypt,Etisalat,Africa
12848243,UMTS,602,3,32042,13421016,0,31.230544,27.157167,5047,35,1,1353878174,1353878174,0,Egypt,Etisalat,Africa
12848244,UMTS,602,3,32042,13423665,0,31.197281,27.172165,1000,6,1,1353877589,1353877589,0,Egypt,Etisalat,Africa
12848245,UMTS,602,3,32042,13420715,0,31.199111938477,27.171249389648,1000,2,1,1353877596,1353877596,0,Egypt,Etisalat,Africa
12848246,UMTS,602,3,32042,13423337,0,31.209183,27.154884,1742,12,1,1353877749,1353877749,0,Egypt,Etisalat,Africa
12848247,UMTS,602,3,32042,13423325,0,31.207695,27.157173,1216,4,1,1353877756,1353877756,0,Egypt,Etisalat,Africa
12848248,UMTS,602,3,32042,13423336,0,31.245991,27.146562,3514,44,1,1353878183,1353878183,0,Egypt,Etisalat,Africa
12848249,UMTS,602,3,32042,13423666,0,31.218338012695,27.146530151367,1000,1,1,1353877775,1353877775,0,Egypt,Etisalat,Africa
12848250,GSM,602,3,32042,53992,0,31.218338012695,27.146530151367,1000,1,1,1353877779,1353877779,0,Egypt,Etisalat,Africa
12848251,GSM,602,3,22352,53992,0,31.222457885742,27.146530151367,1000,2,1,1353877803,1353877803,0,Egypt,Etisalat,Africa
12848252,UMTS,602,3,32042,13420427,0,31.28875,27.144782,1000,11,1,1353878248,1353878248,0,Egypt,Etisalat,Africa
12848253,UMTS,602,3,32042,13420426,0,31.295665,27.129839,1354,13,1,1353878353,1353878353,0,Egypt,Etisalat,Africa
12848254,UMTS,602,3,32042,13421845,0,31.29859,27.105932,1306,16,1,1353878440,1353878440,0,Egypt,Etisalat,Africa
12848255,GSM,602,3,32042,52502,0,31.302108764648,27.094345092773,1000,1,1,1353878445,1353878445,0,Egypt,Etisalat,Africa
12848256,GSM,602,3,22351,52502,0,31.303482,27.09343,1000,3,1,1354106014,1447249194,0,Egypt,Etisalat,Africa
12848257,UMTS,602,3,22351,13420735,0,31.303482055664,27.088851928711,1000,1,1,1353878464,1353878464,0,Egypt,Etisalat,Africa
12848258,UMTS,602,3,32042,13420735,0,31.306915,27.075577,1366,6,1,1353878570,1353878570,0,Egypt,Etisalat,Africa
12848259,UMTS,602,3,32042,13420728,0,31.307327,27.075394,1000,5,1,1353878529,1353878529,0,Egypt,Etisalat,Africa
12848260,UMTS,602,3,32042,13421227,0,31.312691,27.052096,2134,17,1,1353878708,1353878708,0,Egypt,Etisalat,Africa
12848261,UMTS,602,3,32042,13421225,0,31.313095,27.056808,1000,3,1,1353878627,1353878627,0,Egypt,Etisalat,Africa
12848262,UMTS,602,3,32042,13421226,0,31.317086,27.037783,1985,32,1,1353878961,1353878961,0,Egypt,Etisalat,Africa
12848263,UMTS,602,3,32042,13420736,0,31.323319,27.028885,1149,9,1,1353878977,1353878977,0,Egypt,Etisalat,Africa
12848264,UMTS,602,3,32042,13421217,0,31.337088,27.011625,2012,17,1,1353879156,1353879156,0,Egypt,Etisalat,Africa
12848265,UMTS,602,3,32042,13420898,0,31.359787,26.983109,1549,6,1,1353879282,1353879282,0,Egypt,Etisalat,Africa
12848266,UMTS,602,3,32042,13420897,0,31.376267,26.964432,1501,5,1,1353879344,1353879344,0,Egypt,Etisalat,Africa
12848267,UMTS,602,3,32042,13420896,0,31.389141,26.950665,1239,8,1,1353879424,1353879424,0,Egypt,Etisalat,Africa
12848268,UMTS,602,3,32042,13420415,0,31.395493,26.943112,1157,8,1,1353879453,1353879453,0,Egypt,Etisalat,Africa
12848269,UMTS,602,3,32042,13426385,0,31.407242,26.929856,1614,9,1,1353879534,1353879534,0,Egypt,Etisalat,Africa
12848270,GSM,602,3,32042,53843,0,31.40510559082,26.930923461914,1000,1,1,1353879473,1353879473,0,Egypt,Etisalat,Africa
12848271,UMTS,602,3,32042,13426386,0,31.436952,26.89685,3964,16,1,1353880004,1353880004,0,Egypt,Etisalat,Africa
12848272,UMTS,602,3,32042,13427067,0,31.429825,26.907166,1000,10,1,1353879663,1353879663,0,Egypt,Etisalat,Africa
12848273,UMTS,602,3,32042,13427066,0,31.432571,26.904439,1000,7,1,1353879730,1353879730,0,Egypt,Etisalat,Africa
